title,sort_option,imdb_id,category,listOrder
Academy Award for Best Costume Design,Release Date (Descending),tt0043924,Academy Awards,8
Academy Award for Best Costume Design,Release Date (Descending),tt0043278,Academy Awards,7
Academy Award for Best Costume Design,Release Date (Descending),tt0042192,Academy Awards,6
Academy Award for Best Costume Design,Release Date (Descending),tt0041838,Academy Awards,5
Academy Award for Best Costume Design,Release Date (Descending),tt0041452,Academy Awards,4
Academy Award for Best Costume Design,Release Date (Descending),tt0040076,Academy Awards,3
Academy Award for Best Costume Design,Release Date (Descending),tt0040416,Academy Awards,2
Academy Award for Best Costume Design,Release Date (Descending),tt0040491,Academy Awards,1
Academy Award for Best Original Screenplay,Release Date (Descending),tt17009710,Academy Awards,82
Academy Award for Best Original Screenplay,Release Date (Descending),tt6710474,Academy Awards,81
Academy Award for Best Original Screenplay,Release Date (Descending),tt12789558,Academy Awards,80
Academy Award for Best Original Screenplay,Release Date (Descending),tt9620292,Academy Awards,79
Academy Award for Best Original Screenplay,Release Date (Descending),tt6751668,Academy Awards,78
Academy Award for Best Original Screenplay,Release Date (Descending),tt6966692,Academy Awards,77
Academy Award for Best Original Screenplay,Release Date (Descending),tt5052448,Academy Awards,76
Academy Award for Best Original Screenplay,Release Date (Descending),tt4034228,Academy Awards,75
Academy Award for Best Original Screenplay,Release Date (Descending),tt1895587,Academy Awards,74
Academy Award for Best Original Screenplay,Release Date (Descending),tt2562232,Academy Awards,73
Academy Award for Best Original Screenplay,Release Date (Descending),tt1798709,Academy Awards,72
Academy Award for Best Original Screenplay,Release Date (Descending),tt1853728,Academy Awards,71
Academy Award for Best Original Screenplay,Release Date (Descending),tt1605783,Academy Awards,70
Academy Award for Best Original Screenplay,Release Date (Descending),tt1504320,Academy Awards,69
Academy Award for Best Original Screenplay,Release Date (Descending),tt0887912,Academy Awards,68
Academy Award for Best Original Screenplay,Release Date (Descending),tt1013753,Academy Awards,67
Academy Award for Best Original Screenplay,Release Date (Descending),tt0467406,Academy Awards,66
Academy Award for Best Original Screenplay,Release Date (Descending),tt0449059,Academy Awards,65
Academy Award for Best Original Screenplay,Release Date (Descending),tt0375679,Academy Awards,64
Academy Award for Best Original Screenplay,Release Date (Descending),tt0338013,Academy Awards,63
Academy Award for Best Original Screenplay,Release Date (Descending),tt0335266,Academy Awards,62
Academy Award for Best Original Screenplay,Release Date (Descending),tt0287467,Academy Awards,61
Academy Award for Best Original Screenplay,Release Date (Descending),tt0280707,Academy Awards,60
Academy Award for Best Original Screenplay,Release Date (Descending),tt0181875,Academy Awards,59
Academy Award for Best Original Screenplay,Release Date (Descending),tt0169547,Academy Awards,58
Academy Award for Best Original Screenplay,Release Date (Descending),tt0138097,Academy Awards,57
Academy Award for Best Original Screenplay,Release Date (Descending),tt0119217,Academy Awards,56
Academy Award for Best Original Screenplay,Release Date (Descending),tt0116282,Academy Awards,55
Academy Award for Best Original Screenplay,Release Date (Descending),tt0114814,Academy Awards,54
Academy Award for Best Original Screenplay,Release Date (Descending),tt0110912,Academy Awards,53
Academy Award for Best Original Screenplay,Release Date (Descending),tt0107822,Academy Awards,52
Academy Award for Best Original Screenplay,Release Date (Descending),tt0104036,Academy Awards,51
Academy Award for Best Original Screenplay,Release Date (Descending),tt0103074,Academy Awards,50
Academy Award for Best Original Screenplay,Release Date (Descending),tt0099653,Academy Awards,49
Academy Award for Best Original Screenplay,Release Date (Descending),tt0097165,Academy Awards,48
Academy Award for Best Original Screenplay,Release Date (Descending),tt0095953,Academy Awards,47
Academy Award for Best Original Screenplay,Release Date (Descending),tt0093565,Academy Awards,46
Academy Award for Best Original Screenplay,Release Date (Descending),tt0091167,Academy Awards,45
Academy Award for Best Original Screenplay,Release Date (Descending),tt0090329,Academy Awards,44
Academy Award for Best Original Screenplay,Release Date (Descending),tt0087921,Academy Awards,43
Academy Award for Best Original Screenplay,Release Date (Descending),tt0086423,Academy Awards,42
Academy Award for Best Original Screenplay,Release Date (Descending),tt0083987,Academy Awards,41
Academy Award for Best Original Screenplay,Release Date (Descending),tt0082158,Academy Awards,40
Academy Award for Best Original Screenplay,Release Date (Descending),tt0081150,Academy Awards,39
Academy Award for Best Original Screenplay,Release Date (Descending),tt0078902,Academy Awards,38
Academy Award for Best Original Screenplay,Release Date (Descending),tt0077362,Academy Awards,37
Academy Award for Best Original Screenplay,Release Date (Descending),tt0075686,Academy Awards,36
Academy Award for Best Original Screenplay,Release Date (Descending),tt0074958,Academy Awards,35
Academy Award for Best Original Screenplay,Release Date (Descending),tt0072890,Academy Awards,34
Academy Award for Best Original Screenplay,Release Date (Descending),tt0071315,Academy Awards,33
Academy Award for Best Original Screenplay,Release Date (Descending),tt0070735,Academy Awards,32
Academy Award for Best Original Screenplay,Release Date (Descending),tt0068334,Academy Awards,31
Academy Award for Best Original Screenplay,Release Date (Descending),tt0067217,Academy Awards,30
